file, mode, rule, result, duration
../test_files_z3/dressingAssist/DRESSASSIST.sleec, conflict, 3, sat, 0.07638239860534668
../test_files_z3/dressingAssist/DRESSASSIST.sleec, conflict, 4, sat, 0.2400531768798828
../test_files_z3/dressingAssist/DRESSASSIST.sleec, conflict, 5, sat, 0.10583806037902832
../test_files_z3/dressingAssist/DRESSASSIST.sleec, conflict, 6, sat, 0.06316947937011719
../test_files_z3/dressingAssist/DRESSASSIST.sleec, conflict, 7, sat, 0.057044267654418945
../test_files_z3/dressingAssist/DRESSASSIST.sleec, conflict, 8, sat, 0.09063935279846191
../test_files_z3/dressingAssist/DRESSASSIST.sleec, conflict, 9, sat, 0.06231880187988281
../test_files_z3/dressingAssist/DRESSASSIST.sleec, conflict, 10, sat, 0.09402847290039062
../test_files_z3/dressingAssist/DRESSASSIST.sleec, conflict, 11, sat, 0.17337632179260254
../test_files_z3/dressingAssist/DRESSASSIST.sleec, conflict, 12, sat, 0.12737441062927246
../test_files_z3/dressingAssist/DRESSASSIST.sleec, conflict, 13, sat, 0.10695719718933105
../test_files_z3/dressingAssist/DRESSASSIST.sleec, conflict, 14, sat, 0.09076690673828125
../test_files_z3/dressingAssist/DRESSASSIST.sleec, conflict, 15, sat, 0.05668830871582031
../test_files_z3/dressingAssist/DRESSASSIST.sleec, conflict, 16, sat, 0.09292411804199219
../test_files_z3/dressingAssist/DRESSASSIST.sleec, conflict, 17, sat, 0.22813153266906738
../test_files_z3/dressingAssist/DRESSASSIST.sleec, conflict, 18, sat, 0.1049492359161377
../test_files_z3/dressingAssist/DRESSASSIST.sleec, conflict, 19, sat, 0.09114527702331543
../test_files_z3/dressingAssist/DRESSASSIST.sleec, conflict, 20, sat, 0.09484410285949707
../test_files_z3/dressingAssist/DRESSASSIST.sleec, conflict, 21, sat, 0.0892176628112793
../test_files_z3/dressingAssist/DRESSASSIST.sleec, conflict, 22, sat, 0.18079185485839844
../test_files_z3/dressingAssist/DRESSASSIST.sleec, conflict, 23, sat, 0.29355478286743164
